id,addtime,brand,model1,discountprice,originalprice,vehicleage,kilometer,imgurl,xqurl,city,thumbsupnum,crazilynum,clicktime,clicknum,discussnum,storeupnum
2412,2026-03-11 06:59:41,起亚K3 ,起亚K3 2019款 1.5L CVT新锐版,4.39,4.39,2020年,8.6,"https://image-public.guazistatic.com/qnbdp7206x07f484615b9c46458061bfd3cb71e4ed1772466863.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163262537308275.html,广州,0,0,,0,0,0
2417,2026-03-11 06:59:52,马自达CX-4 ,马自达CX-4 2018款 2.0L 自动两驱蓝天活力版 国V,4.75,4.75,2018年,17.12,"https://image-public.guazistatic.com/qnbdp7206x284bd428afc34516acb94c50548852f81772079364.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163275110148903.html,广州,0,0,,0,0,0
2488,2026-03-11 06:54:07,现代 途胜 ,现代 途胜 2018款 1.6T 双离合两驱15周年特别版,4.67,4.67,2018年,12.19,"https://image-public.guazistatic.com/qnbdp7206x11fe15aecfa14269aaef6e348af42fc71764478413.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c160057700140598.html,广州,0,0,,0,0,0
2489,2026-03-11 06:59:47,哈弗H9 ,哈弗H9 2015款 2.0T 四驱豪华型 7座,4.8,4.8,2015年,9.01,"https://image-public.guazistatic.com/qnbdp7206xb9713b9090cb485b862c99ceac6ab31b1767328909.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161343589968646.html,雅安,0,0,,0,0,0
2517,2026-03-11 06:54:07,大众 凌渡 ,大众 凌渡 2018款 230TSI DSG风尚版,4.67,4.67,2018年,9.55,"https://image-public.guazistatic.com/qnbdp7206x55c2c6c840c24884906c2796f6bb21231756701721.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c156485174247366.html,合肥,0,0,,0,0,0
2583,2026-03-11 06:59:52,铃木 维特拉 ,铃木 维特拉 2016款 1.4T 自动四驱精英型,4.87,4.87,2017年,13.64,"https://image-public.guazistatic.com/qnbdp7206x4df94d25863c45ca82f97609db6723071772341077.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163417819281443.html,广州,0,0,,0,0,0
2584,2026-03-11 06:54:07,哈弗H6 ,哈弗H6 2020款 1.5GDIT 自动铂金冠军版,4.26,4.26,2020年,10.4,"https://image-public.guazistatic.com/qnbdp7206x633de448f60442a1bd2a27c49c429c611772250150.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163261758189488.html,广州,0,0,,0,0,0
2587,2026-03-11 06:54:07,本田 享域 ,本田 享域 2019款 180TURBO CVT乐享版 国VI,4.29,4.29,2020年,4.55,"https://image-public.guazistatic.com/qnbdp7206x43b35088b56b4ec596ec3036f43a2dc81772693116.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163612352143655.html,广州,0,0,,1,0,0
2650,2026-03-11 06:54:07,雪佛兰 科鲁兹 ,雪佛兰 科鲁兹 2018款 Redline 330T 双离合领锋版,4.41,4.41,2019年,2.07,"https://image-public.guazistatic.com/qnbdp7206x3d53377945044bf1b39d7090cbecc0f51772090793.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163087287192739.html,广州,0,0,,0,0,0
2759,2026-03-11 06:54:07,捷达VA3 ,捷达VA3 2019款 1.5L 手动悦享版,4.15,4.15,2021年,2.38,"https://image-public.guazistatic.com/qnbdp7206x3bd689a1acbf426d8088d4cffaf68be21772558497.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163393746317697.html,广州,0,0,,0,0,0
2837,2026-03-11 06:54:07,三菱 劲炫ASX ,三菱 劲炫ASX 2018款 2.0L CVT两驱尊享版,4.62,4.62,2019年,6.84,"https://image-public.guazistatic.com/qnbdp7206xd9408cd1ef674ab594a5c8fac84f8b111766975822.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161198623105101.html,晋城,0,0,,0,0,0
2930,2026-03-11 06:59:47,奇瑞 小蚂蚁 ,奇瑞 小蚂蚁 2023款 251km 真爱版 磷酸铁锂,3.82,3.82,2024年,1.63,"https://image-public.guazistatic.com/qnbdp7964x2b59ba108028482489f3ae3d4f8d422d1772598507.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163633398257196.html,芜湖,0,0,,0,0,0
2972,2026-03-11 06:54:07,奇瑞 小蚂蚁 ,奇瑞 小蚂蚁 2022款 改款 甜粉款 半糖版 三元锂 30.6kWh 30kW 301km,3.09,3.09,2022年,5.87,"https://image-public.guazistatic.com/qnbdp7206x84321fb8e7a4418d8784f939a55e217a1772504436.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163143983326744.html,绵阳,0,0,,0,0,0
2988,2026-03-11 06:54:07,哪吒汽车 哪吒AYA ,哪吒汽车 哪吒AYA 2023款 401 Lite,4.64,4.64,2024年,2.6,"https://image-public.guazistatic.com/qnbdp7206xa1bdcf3f8026481cb747df50a0adbc0b1769562504.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c162402566138361.html,襄阳,0,0,,0,0,0
3256,2026-03-11 06:59:52,吉利银河 ,吉利银河 2024款 熊猫mini 200km 耐力熊,3.24,3.24,2025年,0.0,"https://image-public.guazistatic.com/qnbdp7964x88cd69b332554df6b40fc9ef54339b261766210488.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c160867275257289.html,济宁,0,0,,0,0,0
3267,2026-03-11 06:59:47,五菱汽车 宏光MINIEV ,五菱汽车 宏光MINIEV 2024款 第三代 215km 青春版,3.08,3.08,2024年,0.75,"https://image-public.guazistatic.com/qnbdp7206xec30399867cb40659d3b4d4fa04ecfd31768720630.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c162002011493386.html,恩施,0,0,,0,0,0
3294,2026-03-11 06:59:47,奇瑞新能源 小蚂蚁 ,奇瑞新能源 小蚂蚁 2022款 甜粉款 全糖版 三元锂 30kW 301km,3.18,3.18,2022年,6.77,"https://image-public.guazistatic.com/qnbdp7206xb00124d800144bf0bd33c492b6feb8171757493600.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c157007610284453.html,合肥,0,0,,0,0,0
